Class,dt1,dt2,dt3,dt4,dt5,dt6,dt7,dt8,dt9,dt10,dt11,dt12,dt13,dt14,Acc,LI
1,-874,-38,0,-589,-1140,-628,225,1,291,238,0,-251800,0,266,-0.040297275,0.766804294
1,287,-376,-34,558,319,411,61,0,-119,-81,0,-101800,0,-31,-0.062106918,0.27240566
1,252,18,-6,4,100,292,40,3,27,107,0,-416000,0,153,0.010395842,0.470211915
1,242,-439,0,928,-2292,-1982,114,0,3863,2534,0,-45900,0,2535,0.624227441,0.697156984
1,-972,5,0,-285,-23,-1450,296,0,-40,-2199,1165,-874600,7105000,-949,-0.370200334,0.633764608
1,-424,-2,0,72,-713,-719,-644,-6,-706,-849,1120,-1410100,9730000,289,-0.092453663,0.831421006
1,345,20,0,257,125,567,28,-1,25,206,0,-7834700,0,220,-0.084003575,0.177390527
1,-70,82,0,-117,-31,-3,-65,2,-12,-54,0,-1387700,0,-39,-0.040656205,0.20256776
1,60,-6,0,180,-7,-233,112,0,114,69,0,-212000,0,67,-0.038046411,0.212898003
1,54,-50,0,138,-10,205,-13,0,-41,61,0,-3727900,0,65,-0.032615026,0.527664531
1,264,255,269,-197,131,-118,36,0,15,86,0,-408000,0,133,0.042056075,0.365654206
1,-1065,-31,0,1485,-555,9,-155,0,-498,-464,0,-709500,-152065,-509,-0.783174938,0.043998592
1,-16,-60,0,91,46,-204,-132,0,-80,-100,0,-198100,0,-62,-0.160311603,0.738827388
1,166,223,0,-340,723,-25,-119,0,-258,-744,157,-475700,46100,-557,-0.182444062,0.94707401
1,299,-598,0,806,174,365,171,-1,92,116,7,-375900,32400,124,-0.038800705,0.179453263
1,134,51,0,146,100,329,23,0,46,86,0,-164200,0,35,-0.097244733,0.190707726
1,374,2,0,234,-80,-67,-156,0,-816,-1009,1388,-364400,18600000,454,-0.587143804,0.143803844
1,-158,-193,0,-92,-13,-7,-107,1,-132,-144,0,-10500,0,-145,0.14793578,0.043577982
1,-2494,1439,-2,-1694,-585,-4832,-1506,-67,-2623,1281,0,334300,0,-1909,-0.033078668,0.525475277
1,371,-2286,0,3311,607,-1447,-1103,-16,-659,-114,0,-51800,0,-235,-0.065178218,0.288005977
1,1299,181,0,86,1537,1967,1057,0,1671,807,0,-537400,0,-239,-0.025567274,0.691328433
1,6641,847,10,360,6253,4676,375,-6,187,588,-1021,-99300,121500,388,0.302177313,0.830386142
1,3104,277,0,2614,610,2638,1206,-1,1458,2484,-825,5067300,0,2493,-0.034368161,0.247466969
1,184,85,0,55,36,332,65,0,-7,126,-19,-41000,68400,148,-0.076679842,0.595652174
1,2180,-93,0,2312,2213,-146,-73,0,-94,-279,-652,28200,206400,-33,-0.086267047,0.738661592
1,-485,42,0,-546,-417,-1635,-1020,0,-631,-81,-184,32100,0,-67,0.147072174,0.517930095
